ts,symbol,net24,net7,net30,fee24,closed,wins,profit_factor,avg_pnl,last_trade_side,last_trade_time,last_trade_price,last_trade_qty
2026-03-10 21:48:02,ETHUSDT,-0.20457975,-1.28273326,-1.07932314,0.29426974,15,8,0.92894363,-0.00300387,COMPRA,2026-03-10 21:35:04,2031.7,0.0103
2026-03-10 21:53:30,BNBUSDT,-0.14593965,-0.18614067,-0.18614067,0.42385965,25,12,1.26639276,0.00380786,COMPRA,2026-03-10 21:52:16,643.86,0.032
2026-03-10 21:53:30,ETHUSDT,-0.15680465,-1.23659743,-1.06182934,0.32606765,16,9,1.02936090,0.00116377,COMPRA,2026-03-10 21:51:47,2039.79,0.0103
2026-03-10 21:58:53,BNBUSDT,-0.14627583,-0.18685616,-0.18685616,0.42419583,25,12,1.26594800,0.00380207,COMPRA,2026-03-10 21:52:16,643.86,0.032
2026-03-10 21:58:53,ETHUSDT,-0.15706326,-1.23737219,-1.06259653,0.32632626,16,9,1.02917023,0.00115631,COMPRA,2026-03-10 21:51:47,2039.79,0.0103
2026-03-10 22:04:17,BNBUSDT,-0.14613740,-0.18656154,-0.18656154,0.42405740,25,12,1.26613112,0.00380445,COMPRA,2026-03-10 21:52:16,643.86,0.032
2026-03-10 22:04:17,ETHUSDT,-0.15695678,-1.23679091,-1.06198073,0.32621978,16,9,1.02924874,0.00115938,COMPRA,2026-03-10 21:51:47,2039.79,0.0103
2026-03-10 22:09:43,BNBUSDT,-0.14632197,-0.18695436,-0.18695436,0.42424197,25,12,1.26588696,0.00380127,COMPRA,2026-03-10 21:52:16,643.86,0.032
2026-03-10 22:09:43,ETHUSDT,-0.15709876,-1.23756653,-1.06280247,0.32636176,16,9,1.02914406,0.00115528,COMPRA,2026-03-10 21:51:47,2039.79,0.0103
2026-03-10 22:15:07,BNBUSDT,-0.14615718,-0.18660363,-0.18660363,0.42407718,25,12,1.26610496,0.00380411,COMPRA,2026-03-10 21:52:16,643.86,0.032
2026-03-10 22:15:07,ETHUSDT,-0.15697199,-1.23686943,-1.06206354,0.32623499,16,9,1.02923752,0.00115894,COMPRA,2026-03-10 21:51:47,2039.79,0.0103
2026-03-10 22:20:33,BNBUSDT,-0.17987512,-0.18682810,-0.18682810,0.41549512,25,11,1.14410432,0.00211029,COMPRA,2026-03-10 21:52:16,643.86,0.032
2026-03-10 22:20:33,ETHUSDT,-0.15705312,-1.23697625,-1.06214843,0.32631612,16,9,1.02917770,0.00115660,COMPRA,2026-03-10 21:51:47,2039.79,0.0103
2026-03-10 22:25:57,BNBUSDT,-0.17972016,-0.18649140,-0.18649140,0.41534016,25,11,1.14430165,0.00211302,COMPRA,2026-03-10 21:52:16,643.86,0.032
2026-03-10 22:25:57,ETHUSDT,-0.15693142,-1.23604778,-1.06114259,0.32619442,16,9,1.02926743,0.00116011,COMPRA,2026-03-10 21:51:47,2039.79,0.0103
2026-03-10 22:36:32,BNBUSDT,-0.17921009,-0.18538309,-0.18538309,0.41483009,25,11,1.14495143,0.00212200,COMPRA,2026-03-10 21:52:16,643.86,0.032
2026-03-10 22:36:32,ETHUSDT,-0.27664177,-1.30668312,-1.09800651,0.34864077,17,8,0.86566844,-0.00554006,COMPRA,2026-03-10 22:35:57,2030.77,0.0102
2026-03-10 22:41:56,BNBUSDT,-0.17942316,-0.18584605,-0.18584605,0.41504316,25,11,1.14467996,0.00211825,COMPRA,2026-03-10 21:52:16,643.86,0.032
2026-03-10 22:41:56,ETHUSDT,-0.27682084,-1.30750321,-1.09886516,0.34881984,17,8,0.86555523,-0.00554508,COMPRA,2026-03-10 22:35:57,2030.77,0.0102
2026-03-10 22:47:26,BNBUSDT,-0.17975245,-0.18656154,-0.18656154,0.41537245,25,11,1.14426054,0.00211245,COMPRA,2026-03-10 21:52:16,643.86,0.032
2026-03-10 22:47:26,ETHUSDT,-0.27709759,-1.30865744,-1.10006274,0.34909659,17,8,0.86538029,-0.00555284,COMPRA,2026-03-10 22:35:57,2030.77,0.0102
2026-03-10 22:53:05,BNBUSDT,-0.18015921,-0.18744538,-0.18744538,0.41577921,25,11,1.14374262,0.00210529,COMPRA,2026-03-10 21:52:16,643.86,0.032
2026-03-10 22:53:05,ETHUSDT,-0.27743945,-1.31014038,-1.10160741,0.34943845,17,8,0.86516424,-0.00556243,COMPRA,2026-03-10 22:35:57,2030.77,0.0102
2026-03-10 23:04:43,BNBUSDT,-0.17129484,-0.18709465,-0.18709465,0.40691484,24,11,1.17180220,0.00255860,COMPRA,2026-03-10 21:52:16,643.86,0.032
2026-03-10 23:04:43,ETHUSDT,-0.26890338,-1.30987541,-1.10136437,0.34090238,16,8,0.87574029,-0.00538101,COMPRA,2026-03-10 22:35:57,2030.77,0.0102
2026-03-10 23:10:07,BNBUSDT,-0.20515899,-0.18726300,-0.18726300,0.39829899,24,10,1.05160168,0.00078724,COMPRA,2026-03-10 21:52:16,643.86,0.032
2026-03-10 23:10:07,ETHUSDT,-0.27678726,-1.31990922,-1.13618216,0.37228826,17,9,0.88712341,-0.00460063,COMPRA,2026-03-10 23:06:44,2037.55,0.0103
2026-03-10 23:15:31,BNBUSDT,-0.20476925,-0.18637916,-0.18637916,0.39790925,24,10,1.05207781,0.00079435,COMPRA,2026-03-10 21:52:16,643.86,0.032
2026-03-10 23:15:31,ETHUSDT,-0.27642297,-1.31855191,-1.13478555,0.37192397,17,9,0.88735626,-0.00459063,COMPRA,2026-03-10 23:06:44,2037.55,0.0103
2026-03-10 23:21:09,BNBUSDT,-0.20384747,-0.18428881,-0.18428881,0.39698747,24,10,1.05320468,0.00081115,COMPRA,2026-03-10 21:52:16,643.86,0.032
2026-03-10 23:21:09,ETHUSDT,-0.27556139,-1.31565427,-1.13183977,0.37106239,17,9,0.88790718,-0.00456699,COMPRA,2026-03-10 23:06:44,2037.55,0.0103
2026-03-10 23:26:42,BNBUSDT,-0.24313359,-0.22913376,-0.22913376,0.41225359,25,10,0.95094424,-0.00079525,VENTA,2026-03-10 23:22:12,641.22,0.032
2026-03-10 23:26:42,ETHUSDT,-0.32505861,-1.31513577,-1.13129129,0.36169461,17,8,0.80559433,-0.00802678,COMPRA,2026-03-10 23:06:44,2037.55,0.0103
2026-03-10 23:32:11,BNBUSDT,-0.23452918,-0.22930499,-0.22930499,0.40364918,24,10,0.97167262,-0.00046812,VENTA,2026-03-10 23:22:12,641.22,0.032
2026-03-10 23:32:11,ETHUSDT,-0.31582234,-1.31522272,-1.13136110,0.35245835,16,8,0.81637365,-0.00794898,COMPRA,2026-03-10 23:06:44,2037.55,0.0103
2026-03-10 23:37:36,BNBUSDT,-0.24906672,-0.24278941,-0.24278941,0.41818672,24,10,0.97259649,-0.00045266,COMPRA,2026-03-10 23:35:03,641.04,0.003
2026-03-10 23:37:36,ETHUSDT,-0.38265522,-1.39085386,-1.19255515,0.37375422,17,8,0.75051523,-0.01106003,COMPRA,2026-03-10 23:33:01,2027.7,0.0103
2026-03-10 23:43:01,BNBUSDT,-0.24827649,-0.24103384,-0.24103384,0.41739649,24,10,0.97344407,-0.00043849,COMPRA,2026-03-10 23:35:03,641.04,0.003
2026-03-10 23:43:01,ETHUSDT,-0.38194895,-1.38777099,-1.18933696,0.37304795,17,8,0.75090590,-0.01104012,COMPRA,2026-03-10 23:33:01,2027.7,0.0103
2026-03-10 23:48:24,BNBUSDT,-0.24810016,-0.24064210,-0.24064210,0.41722016,24,10,0.97363329,-0.00043533,COMPRA,2026-03-10 23:35:03,641.04,0.003
2026-03-10 23:48:24,ETHUSDT,-0.38179136,-1.38744978,-1.18903817,0.37289036,17,8,0.75099310,-0.01103568,COMPRA,2026-03-10 23:33:01,2027.7,0.0103
2026-03-10 23:53:47,BNBUSDT,-0.24891651,-0.24245571,-0.24245571,0.41803651,24,10,0.97275755,-0.00044997,COMPRA,2026-03-10 23:35:03,641.04,0.003
2026-03-10 23:53:47,ETHUSDT,-0.53759221,-1.54755859,-1.38016296,0.38925121,18,8,0.62249625,-0.01905708,VENTA,2026-03-10 23:48:31,2019.9,0.0103
2026-03-10 23:59:12,BNBUSDT,-0.24923652,-0.24316665,-0.24316665,0.41835652,24,10,0.97241445,-0.00045571,COMPRA,2026-03-10 23:35:03,641.04,0.003
2026-03-10 23:59:12,ETHUSDT,-0.55355261,-1.56413116,-1.39674006,0.40521161,18,8,0.62236697,-0.01906536,COMPRA,2026-03-10 23:55:04,2025.66,0.0103
2026-03-11 00:04:37,BNBUSDT,-0.24970020,-0.24419678,-0.24419678,0.41882020,24,10,0.97191751,-0.00046403,COMPRA,2026-03-10 23:35:03,641.04,0.003
2026-03-11 00:04:37,ETHUSDT,-0.55400173,-1.56522482,-1.39780550,0.40566073,18,8,0.62217969,-0.01907736,COMPRA,2026-03-10 23:55:04,2025.66,0.0103
2026-03-11 00:10:03,BNBUSDT,-0.25000062,-0.24486419,-0.24486419,0.41912062,24,10,0.97159566,-0.00046941,COMPRA,2026-03-10 23:35:03,641.04,0.003
2026-03-11 00:10:03,ETHUSDT,-0.54500002,-1.56610296,-1.39868969,0.39665902,17,8,0.62848366,-0.01966115,COMPRA,2026-03-10 23:55:04,2025.66,0.0103
2026-03-11 00:15:28,BNBUSDT,-0.24947163,-0.24368897,-0.24368897,0.41859163,24,10,0.97216245,-0.00045993,COMPRA,2026-03-10 23:35:03,641.04,0.003
2026-03-11 00:15:28,ETHUSDT,-0.54449938,-1.56443246,-1.39699071,0.39615838,17,8,0.62869228,-0.01964735,COMPRA,2026-03-10 23:55:04,2025.66,0.0103
2026-03-11 00:20:50,BNBUSDT,-0.24914509,-0.24296352,-0.24296352,0.41826509,24,10,0.97251247,-0.00045407,COMPRA,2026-03-10 23:35:03,641.04,0.003
2026-03-11 00:20:50,ETHUSDT,-0.54419034,-1.56296536,-1.39544348,0.39584934,17,8,0.62882109,-0.01963883,COMPRA,2026-03-10 23:55:04,2025.66,0.0103
2026-03-11 00:26:15,BNBUSDT,-0.24876630,-0.24212200,-0.24212200,0.41788630,24,10,0.97291863,-0.00044728,COMPRA,2026-03-10 23:35:03,641.04,0.003
2026-03-11 00:26:15,ETHUSDT,-0.54383185,-1.56176202,-1.39421871,0.39549085,17,8,0.62897053,-0.01962895,COMPRA,2026-03-10 23:55:04,2025.66,0.0103
2026-03-11 00:31:41,BNBUSDT,-0.24878589,-0.24216553,-0.24216553,0.41790589,24,10,0.97289762,-0.00044763,COMPRA,2026-03-10 23:35:03,641.04,0.003
2026-03-11 00:31:41,ETHUSDT,-0.54385039,-1.56189732,-1.39436560,0.39550939,17,8,0.62896280,-0.01962946,COMPRA,2026-03-10 23:55:04,2025.66,0.0103
2026-03-11 00:37:06,BNBUSDT,-0.24917774,-0.24303606,-0.24303606,0.41829774,24,10,0.97247746,-0.00045466,COMPRA,2026-03-10 23:35:03,641.04,0.003
2026-03-11 00:37:06,ETHUSDT,-0.54422124,-1.55229331,-1.39575924,0.39588024,17,8,0.62880821,-0.01963968,COMPRA,2026-03-10 23:55:04,2025.66,0.0103
2026-03-11 00:42:30,BNBUSDT,-0.24894263,-0.24251374,-0.24251374,0.41806263,24,10,0.97272954,-0.00045044,COMPRA,2026-03-10 23:35:03,641.04,0.003
2026-03-11 00:42:30,ETHUSDT,-0.54399873,-1.55144414,-1.39488210,0.39565773,17,8,0.62890096,-0.01963355,COMPRA,2026-03-10 23:55:04,2025.66,0.0103
2026-03-11 00:47:53,BNBUSDT,-0.28647028,-0.24271687,-0.24271687,0.40951028,24,9,0.85946059,-0.00237208,COMPRA,2026-03-10 23:35:03,641.04,0.003
